ID	CREATED TIME	AGENT	CAT	SUJECT	CONTENT	
2	2017-12-26T21:57:02.000+01:00	CLIE	Virement, Carte bancaire, Assurance Habitation	suite a notre rencontre	bonjour, prelevements : pouvez-vous annuler des a present les virements suivants (pas besoin d'attendre NNNN comme on en avait parle): - mutNm de NN.NN euros le NN de chaque mois (mutuelle) - scp sainte beuve et darras : NNN euros le N de chaque mois (loyer) carte bancaire : j'ai besoin de pouvoir faire des achats avec ma cb sur internet au mois de janvier directement sur internet (caution location vehicule). pouvez-vous m'activer l'autorisation sur janvier ? assurance habitation : le logement pour lequel nous avons fait une simulation pour l'assurance habitation date de NNNN. il y a egalement une petite cave. l'immeuble fait N etage et je suis au cinquieme. est-ce que la cotisation du logement reste la meme par rapport au devis ? vu que ma cotisation pour mon logement actuel a ete payee pour l'XXXXe, est-ce que cela va etre deduit de ma cotisation pour le logement de lyon ? frais : avez-vous eu des retours concernant l'annulation des frais dont nous avons parle ? merci d'avance pour votre aide. cordialement. XXXXXXX XXXX-XXXX	 pouvez-vous annuler des a present les virements suivants (pas besoin d'attendre NNNN comme on en avait parle): - mutNm de NN.NN euros le NN de chaque mois (mutuelle) - scp sainte beuve et darras : NNN euros le N de chaque mois (loyer) carte bancaire. pouvez-vous m'activer l'autorisation sur janvier ? est-ce que la cotisation du logement reste la meme par rapport au devis ? vu que ma cotisation pour mon logement actuel a ete payee pour l'XXXXe, est-ce que cela va etre deduit de ma cotisation pour le logement de lyon ? frais : avez-vous eu des retours concernant l'annulation des frais dont nous avons parle ?
3	2017-12-10T21:45:00.000+01:00	CLIE	Carte bancaire	envoi de carte a l'etranger	bonjour m. XXXXX. j'ai recu un message m'avisant que ma nouvelle carte mastercard etait disponible a mon agence. serait-il possible de me l'envoyer a mon adresse au canada ou je vis ? cordialement, XXXXX XXXXXXXX. NNNN rue elizabeth saint-laurent, qc hNl NlN canada	serait-il possible de me l'envoyer a mon adresse au canada ou je vis ?
3	2017-12-14T03:07:11.000+01:00	CLIE	Carte bancaire	re : re: envoi de carte a l'etranger	bonjour m. XXXXX. je viens de recevoir ma nouvelle carte, vous pouvez la faire activer. je vous remercie ! cordialement, XXXXX XXXXXXXX.	je viens de recevoir ma nouvelle carte, vous pouvez la faire activer. je vous remercie !
4	2017-12-24T16:17:45.000+01:00	CLIE	Facture	factures travaux	factures travaux	
4	2017-12-24T16:20:13.000+01:00	CLIE	Facture	factures travaux	factures travaux	
5	2017-12-12T13:35:31.000+01:00	CLIE	Document, cloture de préférences	reglement des preferences	bonjour, comment promis, apres avoir vu cela avec votre responsable d'agence, je suis en mesure de vous rembourser l'integralite de mon preference ainsi que celui de mon epouse. dans un second temps vers la mi-janvier nous vous reglerons comme convenu nos deux decouverts. en vous remerciant de nous dire comment proceder pour le remboursement de nos deux preferences une fois ceux-ci soldee, pourriez-vous nous fournir le document indiquant de cloture de nos deux preferences ? en vous remerciant de votre reponse cordialement XXXXX XXXXXXX NNNNNNNNNN	en vous remerciant de nous dire comment proceder pour le remboursement de nos deux preferences une fois ceux-ci soldee, pourriez-vous nous fournir le document indiquant de cloture de nos deux preferences ? 
5	2017-12-19T19:01:36.000+01:00	CLIE	Rendez-vous, Prélèvement, Cloture de compte	re : re: reglement des preferences	bonjour madame XXXXXXXX, quelle surprise de vous apercevoir dans votre bureau alors que nous avions rdv a NN h je fais a plusieurs reprises une reclamation aupres de votre banque pour des frais indument preleves sur mon compte encore recemment NN euros pour refus de prelevement et idem pour free et michel jacq, je fais preparer par mon conseil une lettre recommandee afin que vous me remboursiez des sommes que vous n'aviez pas a prelever sur mon compte car les prelevements avaient ete annules ici meme sur le site, j'ai garde les precipices. en vous remerciant de faire le necessaire, rien que pour l'image de votre agence qui commence franchement a devenir desastreuse. heureusement que mon epouse et moi avons clotures ce compte car vous etiez en train de nous ruiner j'espere qu'une lettre recommandee suffira XXXXX XXXXXXX 	 quelle surprise de vous apercevoir dans votre bureau alors que nous avions rdv a NN h je fais a plusieurs reprises une reclamation aupres de votre banque pour des frais indument preleves sur mon compte encore recemment NN euros pour refus de prelevement et idem pour free et michel jacq
6	2017-12-12T14:50:09.000+01:00	CLIE	Fonds de remboursement, Cheque	re : re: reglement par nos soins	bjr, nous avons les fonds pour vous rembourser les deux preferences, il vous suffit de me donner le montant de mon preference et celui de mon epouse madame XXXXX. il s'agit d'un pret que nous avons effectue dans une autre agence... celle-ci n'est pas mesure de vous faire un cheque... nous sommes seuls en mesure de vous le faire. XXXXX XXXXXXX 	
7	2017-12-13T17:36:32.000+01:00	CLIE	Rendez-vous, Préférence	solde decouverts et preferences	bonjour, j'ai rdv avec XXXXXXXX XXXXXXXX le binome de votre conseiller(ere), je serai accompagne de mon epouse madame XXXXX XXXXXXX afin de solder nos preferences et nos deux decouverts. a mardi donc NN h XXXXX XXXXXXX et XXXXXXXX XXXXX XXXXXXX	
9	2017-12-19T16:49:20.000+01:00	CLIE	Décomptés	decomptes pour remboursement anticipe	bonjour mr floch, pouvez-vous me fournir la totalite de mes decomptes, s'il vous plait? cordialement XXXXXXXX XXXX	pouvez-vous me fournir la totalite de mes decomptes, s'il vous plait?
